id,title,all_artists,genre,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,emotion
881,I Know I Know I Know,['Tegan and Sara'],canadian indie,2004,FALSE,41,0.716,0.656,8,-6.075,1,0.0297,0.163,4.10E-06,0.328,0.851,117.008,4,Neutral
882,Electric Feel,['MGMT'],alternative dance,2007,FALSE,77,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3,Neutral
883,Kids,['MGMT'],alternative dance,2007,FALSE,78,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4,Neutral
884,Seven Seas,['TNT'],glam metal,2003,FALSE,14,0.289,0.913,6,-4.816,0,0.156,0.00463,6.92E-05,0.143,0.562,178.465,4,Neutral
885,Waiting for a Star to Fall,['Boy Meets Girl'],new wave pop,1988,FALSE,59,0.662,0.844,3,-6.034,1,0.027,0.145,0.00011,0.137,0.592,116.346,4,Neutral
886,Renegades Of Funk,['Rage Against The Machine'],alternative metal,2000,FALSE,66,0.651,0.908,2,-4.019,1,0.0577,0.00184,0.000579,0.384,0.769,123.851,4,Neutral
887,Band On The Run - Remastered 2010,['Wings'],album rock,1973,FALSE,71,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,4,Neutral
888,Royals,['Lorde'],art pop,2013,FALSE,77,0.674,0.428,7,-9.504,1,0.122,0.121,0,0.132,0.337,84.878,4,Neutral
889,Wake Me Up,['Avicii'],dance pop,2013,FALSE,10,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,Neutral
890,Pretty in Pink,['The Psychedelic Furs'],art rock,1988,FALSE,40,0.361,0.753,2,-12.425,1,0.0561,0.0564,0.052,0.295,0.608,134.841,4,Neutral
891,Walk Like an Egyptian,['The Bangles'],album rock,1986,FALSE,55,0.711,0.833,11,-12.756,1,0.0851,0.0144,3.46E-06,0.303,0.756,103.153,4,Neutral
892,Things Can Only Get Better,['Howard Jones'],mellow gold,2019,FALSE,43,0.74,0.77,7,-6.882,1,0.0346,0.272,0.00072,0.112,0.836,108.246,4,Neutral
893,Fight The Power,['Public Enemy'],conscious hip hop,1990,TRUE,57,0.797,0.582,2,-12.97,1,0.255,0.00484,2.04E-06,0.517,0.415,105.974,4,Neutral
894,Pynk (feat. Grimes),"['Janelle Monáe', 'Grimes']",afrofuturism,2018,FALSE,19,0.671,0.291,8,-7.916,1,0.0879,0.0351,5.70E-06,0.0905,0.364,100.983,4,Neutral
895,Rockstar,['YONAKA'],brighton indie,2019,TRUE,48,0.482,0.881,9,-3.707,0,0.0627,0.0135,1.89E-06,0.122,0.296,128.133,4,Neutral
896,Go Flex,['Post Malone'],dfw rap,2016,FALSE,42,0.664,0.488,5,-8.202,1,0.0853,0.226,0,0.0823,0.119,81.937,4,Neutral
897,Gooey,['Glass Animals'],gauze pop,2014,FALSE,71,0.487,0.369,11,-13.424,0,0.0406,0.736,3.75E-05,0.0925,0.106,183.114,4,Neutral
898,Young Lust,['Pink Floyd'],album rock,1979,FALSE,61,0.615,0.55,11,-13.858,0,0.0349,0.0546,0.19,0.747,0.549,95.488,4,Neutral
899,Good Times Bad Times - 1993 Remaster,['Led Zeppelin'],album rock,1969,FALSE,67,0.476,0.717,9,-9.192,1,0.0949,0.0382,7.61E-05,0.0818,0.753,93.584,4,Neutral
900,Feel It Still,['Portugal. The Man'],indie rock,2017,FALSE,77,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,Neutral
901,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","['Maroon 5', 'Christina Aguilera']",pop,2010,FALSE,69,0.722,0.758,11,-4.477,0,0.0471,0.0111,0,0.308,0.62,128.047,4,Neutral
902,Where Is My Mind?,['Pixies'],alternative rock,1988,FALSE,3,0.518,0.436,4,-14.134,1,0.0349,0.0157,0.000621,0.079,0.27,80.88,4,Neutral
903,Jump (For My Love),['The Pointer Sisters'],dance pop,1989,FALSE,51,0.86,0.705,10,-12.514,0,0.0894,0.107,8.87E-06,0.149,0.854,134.395,4,Neutral
904,Shimmer,['Fuel'],alternative metal,1997,FALSE,63,0.48,0.795,4,-6.408,0,0.0421,0.00236,0,0.189,0.432,114.674,4,Neutral
905,It's Raining Men,['The Weather Girls'],disco,2010,FALSE,62,0.705,0.898,5,-6.371,0,0.0702,0.207,0.00118,0.702,0.657,136.282,4,Neutral
